doi	best_oa_evidence	best_oa_host	best_oa_license	best_oa_url	best_oa_url_is_pdf	best_oa_version	data_standard	doi_url	genre	is_oa	journal_is_oa	journal_issns	journal_name	published_date	publisher
10.1080/02724634.2014.1000701	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.1000701	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-06-23	Informa UK Limited
10.1080/02724634.2014.1001492	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.1001492	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-10-12	Informa UK Limited
10.1080/02724634.2014.1001515	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.1001515	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-09-29	Informa UK Limited
10.1080/02724634.2014.1001854	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.1001854	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-09-29	Informa UK Limited
10.1080/02724634.2014.1002562	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.1002562	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-09-29	Informa UK Limited
10.1080/02724634.2014.881830	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.881830	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.881831	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.881831	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.881832	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.881832	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.883238	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.883238	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.885032	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.885032	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.885033	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.885033	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.885034	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.885034	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.885441	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.885441	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.889144	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.889144	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.889145	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.889145	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.889701	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.889701	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
10.1080/02724634.2014.890107	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/02724634.2014.890107	journal-article	False	False	0272-4634,1937-2809	02-Journal_of_Vertebrate_Paleontology	2015-01-02	Informa UK Limited
