doi	best_oa_evidence	best_oa_host	best_oa_license	best_oa_url	best_oa_url_is_pdf	best_oa_version	data_standard	doi_url	genre	is_oa	journal_is_oa	journal_issns	journal_name	published_date	publisher
10.1080/14772019.2013.852903	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2013.852903	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-02-28	Informa UK Limited
10.1080/14772019.2013.863232	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2013.863232	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-03-03	Informa UK Limited
10.1080/14772019.2013.863809	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2013.863809	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-03-12	Informa UK Limited
10.1080/14772019.2013.867373	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2013.867373	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-04-15	Informa UK Limited
10.1080/14772019.2013.871586	oa repository (via OAI-PMH doi match)	repository	NA	http://www.stri.si.edu/sites/publications/PDFs/Luque_2015_Araripecarcinus_Cretaceous_Santana_FmBrazil.pdf	True	submittedVersion	2	https://doi.org/10.1080/14772019.2013.871586	journal-article	True	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-04-10	Informa UK Limited
10.1080/14772019.2013.875074	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2013.875074	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-03-27	Informa UK Limited
10.1080/14772019.2013.878758	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2013.878758	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-03-31	Informa UK Limited
10.1080/14772019.2014.880752	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.880752	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-03-10	Informa UK Limited
10.1080/14772019.2014.881928	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.881928	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-03-31	Informa UK Limited
10.1080/14772019.2014.890136	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.890136	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-04-01	Informa UK Limited
10.1080/14772019.2014.893260	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.893260	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-04-07	Informa UK Limited
10.1080/14772019.2014.897266	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.897266	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-04-04	Informa UK Limited
10.1080/14772019.2014.902400	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.902400	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-05-14	Informa UK Limited
10.1080/14772019.2014.909537	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.909537	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-05-23	Informa UK Limited
10.1080/14772019.2014.911212	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.911212	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-05-27	Informa UK Limited
10.1080/14772019.2014.913078	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.913078	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-05-30	Informa UK Limited
10.1080/14772019.2014.913719	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.913719	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-05-16	Informa UK Limited
10.1080/14772019.2014.926403	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.926403	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-06-13	Informa UK Limited
10.1080/14772019.2014.930525	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.930525	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-07-04	Informa UK Limited
10.1080/14772019.2014.930526	oa repository (via OAI-PMH doi match)	repository	NA	https://digital.csic.es/bitstream/10261/126084/1/accesoRestringido.pdf	True	submittedVersion	2	https://doi.org/10.1080/14772019.2014.930526	journal-article	True	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-07-04	Informa UK Limited
10.1080/14772019.2014.930527	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.930527	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-07-04	Informa UK Limited
10.1080/14772019.2014.936915	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.936915	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-07-31	Informa UK Limited
10.1080/14772019.2014.936974	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/14772019.2014.936974	journal-article	False	False	1477-2019,1478-0941	07-Journal_of_Systematic_Palaeontology	2014-09-11	Informa UK Limited
