doi	best_oa_evidence	best_oa_host	best_oa_license	best_oa_url	best_oa_url_is_pdf	best_oa_version	data_standard	doi_url	genre	is_oa	journal_is_oa	journal_issns	journal_name	published_date	publisher
10.1080/08912963.2013.861830	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.861830	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-01-08	Informa UK Limited
10.1080/08912963.2013.861831	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.861831	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-05	Informa UK Limited
10.1080/08912963.2013.863881	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.863881	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-05	Informa UK Limited
10.1080/08912963.2013.863882	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.863882	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-05	Informa UK Limited
10.1080/08912963.2013.866949	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.866949	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-21	Informa UK Limited
10.1080/08912963.2013.866950	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.866950	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-21	Informa UK Limited
10.1080/08912963.2013.869799	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.869799	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-26	Informa UK Limited
10.1080/08912963.2013.869800	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.869800	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-21	Informa UK Limited
10.1080/08912963.2013.871009	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.871009	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-26	Informa UK Limited
10.1080/08912963.2013.871010	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.871010	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-25	Informa UK Limited
10.1080/08912963.2013.871718	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.871718	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-25	Informa UK Limited
10.1080/08912963.2013.872097	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.872097	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-21	Informa UK Limited
10.1080/08912963.2013.874422	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.874422	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-21	Informa UK Limited
10.1080/08912963.2013.874423	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.874423	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-25	Informa UK Limited
10.1080/08912963.2013.876536	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.876536	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-26	Informa UK Limited
10.1080/08912963.2013.879866	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2013.879866	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-02-21	Informa UK Limited
10.1080/08912963.2014.1001844	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2014.1001844	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2015-03-06	Informa UK Limited
10.1080/08912963.2014.883506	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2014.883506	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-03-06	Informa UK Limited
10.1080/08912963.2014.884566	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2014.884566	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-03-06	Informa UK Limited
10.1080/08912963.2014.885962	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2014.885962	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-03-06	Informa UK Limited
10.1080/08912963.2014.886203	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2014.886203	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-03-06	Informa UK Limited
10.1080/08912963.2014.888422	NA	NA	NA	NA	False	NA	2	https://doi.org/10.1080/08912963.2014.888422	journal-article	False	False	0891-2963,1029-2381	16-Historical_Biology	2014-03-06	Informa UK Limited
